timestamp,energyB,energyP,on_offL1,on_offL2,powerC,powerP,powerL1,powerL2,powerA
2022-06-29 11:18:24.937227,284.08428055555555,578.1476638888887,0,0.0,945.599,1897.389,782.62,0.0,951.7899999999998
2022-06-29 11:18:34.973936,286.72851388888887,583.4158416666664,0,0.0,944.62,1896.544,781.24,0.0,951.9240000000001
2022-06-29 11:18:45.035461,289.3698694444444,588.677772222222,0,0.0,943.407,1894.2950000000003,782.28,0.0,950.8880000000003
2022-06-29 11:18:54.918467,291.9992972222222,593.9309416666664,0,0.0,944.547,1891.141,780.9,0.0,946.594
2022-06-29 11:19:04.816633,294.6283027777778,599.1886749999998,0,0.0,946.342,1892.784,782.62,0.0,946.4420000000001
2022-06-29 11:19:14.925713,297.2684277777778,604.4584527777776,0,0.0,946.675,1897.12,780.21,0.0,950.4449999999999
2022-06-29 11:19:24.977509,299.91409166666665,609.733397222222,0,0.0,946.541,1898.98,782.28,0.0,952.439
2022-06-29 11:19:34.981446,302.5638833333333,615.0088055555553,0,0.0,945.222,1899.147,778.84,0.0,953.925
2022-06-29 11:19:44.992581,305.2129,620.2808111111109,0,0.0,944.276,1897.922,780.21,0.0,953.6460000000001
2022-06-29 11:19:55.041960,307.87339166666663,625.5634916666664,0,0.0,943.988,1901.765,781.24,0.0,957.777
2022-06-29 11:20:04.995128,310.5316361111111,630.8483444444443,0,0.0,945.579,1902.547,779.87,0.0,956.9680000000001
2022-06-29 11:20:15.042194,313.19527777777773,636.1342083333332,0,0.0,944.0,1902.911,781.59,0.0,958.9110000000001
2022-06-29 11:20:24.935375,315.85513611111105,641.4217277777776,0,0.0,945.958,1903.5070000000003,782.97,0.0,957.5490000000003
2022-06-29 11:20:34.991155,318.5325444444444,646.7201944444442,0,0.0,943.581,1907.448,779.87,0.0,963.8670000000001
2022-06-29 11:20:45.074159,321.20468333333326,652.0230416666665,0,0.0,947.055,1909.025,778.5,0.0,961.9700000000001
2022-06-29 11:20:55.127813,323.8691722222222,657.3282194444442,0,0.0,950.648,1909.864,786.44,0.0,959.216
2022-06-29 11:21:05.042885,326.3056555555555,662.6363833333331,0,0.0,1033.805,1910.939,784.7,0.0,877.134
2022-06-29 11:21:15.098942,328.5953722222222,667.9416888888887,0,0.0,1085.612,1909.91,783.66,0.0,824.298
2022-06-29 11:21:25.080213,330.98348888888887,673.2575138888888,0,0.0,1053.975,1913.697,784.35,0.0,859.722
2022-06-29 11:21:35.100283,333.1906777777777,678.5774833333332,0,0.0,1120.601,1915.189,784.7,0.0,794.588
2022-06-29 11:21:45.179391,335.44852777777777,683.9036194444443,0,0.0,1104.583,1917.409,785.39,0.0,812.826
2022-06-29 11:21:55.211029,337.85115277777777,689.2288194444443,0,0.0,1052.127,1917.072,782.97,0.0,864.9449999999999
2022-06-29 11:22:04.955389,340.2575333333333,694.5563333333332,0,0.0,1051.6080000000002,1917.905,782.62,0.0,866.2969999999998
2022-06-29 11:22:14.940573,342.66737777777774,699.8860638888888,0,0.0,1051.159,1918.703,782.62,0.0,867.5439999999999
2022-06-29 11:22:24.996516,345.07814444444443,705.2142249999998,0,0.0,1050.2620000000002,1918.138,781.59,0.0,867.8759999999997
2022-06-29 11:22:35.112369,347.4878888888889,710.5390722222221,0,0.0,1049.437,1916.945,783.31,0.0,867.508
2022-06-29 11:22:45.146822,349.89557222222226,715.8719666666666,0,0.0,1053.076,1919.842,784.0,0.0,866.7660000000001
2022-06-29 11:22:55.245030,352.30375000000004,721.2033972222222,0,0.0,1052.371,1919.315,783.66,0.0,866.944
2022-06-29 11:23:05.023341,354.7081166666667,726.5391999999999,0,0.0,1055.317,1920.889,785.04,0.0,865.5719999999999
2022-06-29 11:23:15.292804,357.1185888888889,731.8725472222221,0,0.0,1052.235,1920.005,782.28,0.0,867.7700000000002
2022-06-29 11:23:25.005628,359.52395,737.1958249999999,0,0.0,1050.4499999999998,1916.38,786.09,0.0,865.9300000000003
2022-06-29 11:23:35.062396,361.9188027777778,742.513586111111,0,0.0,1052.247,1914.394,786.09,0.0,862.1469999999999
2022-06-29 11:23:45.165395,364.3210305555556,747.8285249999998,0,0.0,1048.576,1913.378,783.31,0.0,864.8019999999999
2022-06-29 11:23:55.192172,366.7225916666667,753.1463055555554,0,0.0,1049.8390000000002,1914.401,783.31,0.0,864.5619999999999
2022-06-29 11:24:05.034902,369.1291277777778,758.4766666666665,0,0.0,1052.577,1918.93,785.74,0.0,866.3530000000001
2022-06-29 11:24:15.231768,371.5269472222223,763.8051861111109,0,0.0,1055.052,1918.267,784.0,0.0,863.2150000000001
2022-06-29 11:24:25.198212,374.2228527777778,769.1295416666665,0,0.0,946.242,1916.768,784.0,0.0,970.5260000000001
2022-06-29 11:24:35.134538,376.9097777777778,774.4410694444442,0,0.0,944.857,1912.15,782.97,0.0,967.2930000000001
